"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"863","ASV_863","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",84.8723903407106,84.8723903407106,84.8723903407106,77.0532801555153,77.0532801555153,61.929780781596,43.2602885926106,43.2602885926106
"864","ASV_864","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Cochliobolus","Cochliobolus_sp.",99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,96.8511249847188,19.2531381489465,5.35680970682582
"865","ASV_865","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_sp.",77.8720989725641,73.9515485961962,73.9515485961962,30.2286741454816,27.1516861953294,22.8121833955258,16.6169677752309,6.4376650502562
"866","ASV_866","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Heterogastridium","Heterogastridium_pycnidioideum",75.4977935070874,75.4977935070874,75.4977935070874,75.4977935070874,67.37565922625,27.8386857263838,10.5906257687071,10.5906257687071
"867","ASV_867","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_globosa",73.7738312061757,73.7738312061757,73.7738312061757,36.7241903307603,34.1310960814118,32.7682943041093,26.7235076265986,6.19067156777458
"868","ASV_868","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Penicillium","Penicillium_sp.",93.5546542259813,93.5546542259813,93.5546542259813,93.5546542259813,93.5546542259813,91.1214689928305,56.2266985040861,22.0877421319197
"869","ASV_869","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_sp.",65.7123331579167,64.6127318974048,64.1839576922525,63.671771452487,48.5383992292173,47.9865832718349,34.4481998388816,18.115449545857
"870","ASV_870","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","Thecaphora","Thecaphora_saponariae",79.9736702052371,79.9736702052371,79.9736702052371,44.5643147385181,17.2911423722348,17.2911423722348,17.2911423722348,17.2911423722348
"871","ASV_871","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Allium","Allium_cepa",100,100,100,100,100,100,100,42.8596537863331
"872","ASV_872","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_sp.",75.9262809843397,75.9262809843397,75.9262809843397,74.7976786737963,57.9910151490932,57.9910151490932,39.4437465017492,32.7794734485827
